测试套/软件包名,测试用例总数,通过,未通过,备注,总测试套数,总测试用例数,总通过用例数,总未通过用例数
byacc,4,0,4,,290,1006,195,811
resource-agents,2,2,0
etcd,6,0,6
optipng,2,0,2
galera,2,0,2
lvm2,26,2,24
bluez,2,0,2
redis5,4,0,4
p7zip,5,0,5
haproxy,1,0,1
pam,1,1,0
dovecot,7,1,6
nginx,1,0,1
x265,1,0,1
lxc,13,0,13
tigervnc,1,0,1
glibc,2,1,1
ceph,9,5,4
dhcp,5,0,5
openvswitch,7,0,7
wireshark,12,3,9
security-tool,2,0,2
stunnel,1,0,1
at,1,1,0
upower,1,1,0
dnsmasq,1,0,1
umoci,1,0,1
rootsh,2,0,2
pps-tools,1,0,1
hostname,1,0,1
abrt,7,1,6
cronie,2,0,2
varnish,2,0,2
plymouth,10,10,0
fcoe-utils,1,0,1
hsqldb,1,0,1
arptables,1,0,1
attr,1,0,1
nvmetcli,1,0,1
geoclue2,1,0,1
python-blivet,1,0,1
powertop,1,1,0
tuned,1,0,1
podman,58,0,58
jemalloc,2,0,2
digest-list-tools,1,0,1
acpid,5,3,2
gpm,1,1,0
sphinx,1,0,1
rrdtool,2,0,2
help2man,1,1,0
rasdaemon,2,0,2
quota,2,0,2
dos2unix,1,1,0
openwsman,1,0,1
gdm,1,0,1
rpcbind,2,2,0
python-keyring,2,0,2
open-isns,1,0,1
ntp,4,0,4
alsa-utils,2,0,2
cachefilesd,1,0,1
rtkit,1,1,0
libzip,3,0,3
storm,4,0,4
bind,4,1,3
munge,1,1,0
rubygem-bundler,14,0,14
net-tools,1,0,1
kmod,7,0,7
cgdcbxd,1,0,1
htop,2,2,0
nbdkit,3,0,3
grub2,1,1,0
systemtap,3,0,3
lxcfs,1,0,1
gssproxy,1,0,1
cpio,1,1,0
nodejs,4,4,0
memcached,3,0,3
mdadm,1,0,1
acl,8,3,5
openscap,6,0,6
postfix,2,0,2
java-1.8.0-openjdk,10,1,9
strongswan,2,0,2
xdelta,3,0,3
brltty,1,0,1
nss-pam-ldapd,1,0,1
OpenIPMI,1,0,1
portreserve,1,0,1
opensm,1,0,1
webbench,1,0,1
bacula,3,0,3
numad,1,0,1
xfsprogs,1,1,0
dnf,22,5,17
authd,1,0,1
lighttpd,1,0,1
opencc,1,1,0
libwbxml,2,0,2
openslp,1,0,1
rng-tools,1,0,1
e2fsprogs,2,2,0
cups,3,2,1
paps,1,0,1
tftp,2,0,2
nss_wrapper,1,0,1
NetworkManager,4,4,0
easymock,12,0,12
nghttp2,1,1,0
wpa_supplicant,1,0,1
flatpak,1,0,1
container-exception-logger,1,0,1
openssl,28,10,18
dnssec-trigger,2,0,2
logwatch,1,0,1
