测试套/软件包名,测试用例名,日志文件,原因,Broken testcase,pkg not found,preinstall absent,kernel module absent,file missing,systemd unit restart failure,systemd unit runtime error,systemd unit enable failure,timeout
iputils,oe_test_service_rdisc,2023-03-10-11:18:16.log,"Broken testcase
preinstall absent
systemd unit restart failure
",1,0,1,0,0,1,0,0,0
osc,oe_test_osc_06,2023-03-10-11:14:21.log,"Broken testcase
pkg not found
preinstall absent
",1,1,1,0,0,0,0,0,0
osc,oe_test_osc_01,2023-03-10-11:12:08.log,"Broken testcase
pkg not found
preinstall absent
",1,1,1,0,0,0,0,0,0
osc,oe_test_osc_04,2023-03-10-11:13:31.log,"Broken testcase
pkg not found
preinstall absent
",1,1,1,0,0,0,0,0,0
osc,oe_test_osc_03,2023-03-10-11:13:06.log,"Broken testcase
pkg not found
preinstall absent
",1,1,1,0,0,0,0,0,0
osc,oe_test_osc_05,2023-03-10-11:13:57.log,"Broken testcase
pkg not found
preinstall absent
",1,1,1,0,0,0,0,0,0
osc,oe_test_osc_07,2023-03-10-11:14:46.log,"Broken testcase
pkg not found
preinstall absent
",1,1,1,0,0,0,0,0,0
osc,oe_test_osc_build,2023-03-10-11:15:11.log,"Broken testcase
pkg not found
preinstall absent
",1,1,1,0,0,0,0,0,0
osc,oe_test_osc_02,2023-03-10-11:12:40.log,"Broken testcase
pkg not found
preinstall absent
",1,1,1,0,0,0,0,0,0
git,oe_test_socket_git,2023-03-10-11:52:01.log,"Broken testcase
pkg not found
preinstall absent
",1,1,1,0,0,0,0,0,0
kernel,oe_test_kernel_cmd_01,2023-03-10-11:54:43.log,"Broken testcase
pkg not found
preinstall absent
",1,1,1,0,0,0,0,0,0
kernel,oe_test_kernel_cmd_03,2023-03-10-11:55:49.log,"Broken testcase
pkg not found
",1,1,0,0,0,0,0,0,0
kernel,oe_test_kernel_cmd_02,2023-03-10-11:55:17.log,"Broken testcase
pkg not found
preinstall absent
",1,1,1,0,0,0,0,0,0
kernel,oe_test_service_cpupower,2023-03-10-11:56:20.log,"Broken testcase
preinstall absent
systemd unit restart failure
",1,0,1,0,0,1,0,0,0
